,Unnamed: 0,cik,year_end,symbol
787,787,1297989, 40,EXLS
788,788,918646, 0331,EXP
789,789,746515, 1231,EXPD
790,790,1324424, 1231,EXPE
791,791,851520, 0103,EXPO
792,792,1483510, 0201,EXPR
793,793,1289490, 1231,EXR
794,794,1078271, 0630,EXTR
795,795,876523, 0930,EZPW
796,796,37996, 1231,F
797,797,1472787, 1231,FAF
798,798,34563, 0630,FARM
799,799,917491, 1231,FARO
800,800,815556, 1231,FAST
801,801,1033012, 1231,FBC
802,802,1519751, 1231,FBHS
803,803,1521951, 1231,FBIZ
804,804,947559, 1231,FBMS
805,805,811589, 1231,FBNC
806,806,1057706, 1231,FBP
807,807,886206, 0831,FC
808,808,859070, 1231,FCBC
809,809,932781, 1231,FCCO
810,810,1141807, 1231,FCCY
811,811,886128, 1031,FCEL
812,812,712537, 1231,FCF
813,813,840489, 1231,FCFS
814,814,887936, 1231,FCN
815,815,831259, 1231,FCX
816,816,946647, 1231,FDEF
817,817,1047340, 9,FDP
818,818,1013237, 0831,FDS
819,819,1513363, 1231,FDUS
820,820,1048911, 0531,FDX
821,821,1031296, 1231,FE
822,822,38725, 1231,FELE
823,823,4, 40,FENG
824,824,1401257, 1231,FET
825,825,1337298, 1231,FF
826,826,708955, 1231,FFBC
827,827,1012771, 1231,FFG
828,828,923139, 1231,FFIC
829,829,36029, 1231,FFIN
830,830,1048695, 0930,FFIV
831,831,1401564, 1231,FFNW
832,832,922358, 0731,FGP
833,833,36966, 1231,FHN
834,834,860413, 1231,FIBK
835,835,814547, 0930,FICO
836,836,1056288, 1231,FII
837,837,1136893, 1231,FIS
838,838,862831, 1231,FISI
839,839,798354, 1231,FISV
840,840,35527, 1231,FITB
841,841,1035983, 1231,FIX
842,842,69891, 0501,FIZZ
843,843,850209, 0201,FL
844,844,1162194, 1231,FLDM
845,845,866374, 40,FLEX
846,846,740663, 1231,FLIC
847,847,354908, 1231,FLIR
848,848,891482, 1231,FLL
849,849,1128928, 1228,FLO
850,850,1641991, 1231,FLOW
851,851,1124198, 1231,FLR
852,852,30625, 1231,FLS
853,853,1175454, 1231,FLT
854,854,1084869, 0628,FLWS
855,855,29, 40,FLY
856,856,702325, 1231,FMBI
857,857,37785, 1231,FMC
858,858,709337, 1231,FMNB
859,859,2, 40,FMS
860,860,1231, 40,FMX
861,861,1408710, 40,FN
862,862,37808, 1231,FNB
863,863,1331875, 1231,FNF
864,864,1231, 40,FNV
865,865,35214, 1231,FOE
866,866,1178879, 1231,FOLD
867,867,1406587, 0930,FOR
868,868,1039399, 1228,FORM
869,869,1023313, 1231,FORR
